Year,Subject,Country,Score,Rank
2006,Maths,Slovenia,504.0,18.0
2006,Maths,Spain,480.0,31.0
2006,Maths,Sweden,502.0,20.0
2006,Maths,Switzerland,530.0,6.0
2006,Maths,Thailand,417.0,41.0
2006,Maths,Trinidad and Tobago,,
2006,Maths,Tunisia,365.0,51.0
2006,Maths,Turkey,424.0,40.0
2006,Maths,United Arab Emirates,,
2006,Maths,United Kingdom,495.0,23.0
2006,Maths,United States,474.0,33.0
2006,Maths,Uruguay,427.0,39.0
2006,Maths,Vietnam,,
2009,Maths,Albania,377.0,53.0
2009,Maths,Algeria,,
2009,Maths,Argentina,,
2009,Maths,Australia,514.0,13.0
2009,Maths,Austria,496.0,22.0
2009,Maths,China B-S-J-G,,
2009,Maths,Belgium,515.0,12.0
2009,Maths,Brazil,386.0,51.0
